Name;Email
Community Corrections KwaMashu;Uiveka.Devchund@dcs.gov.za
Ukwazi Engineering (Pty) Ltd;ukwazi@webmail.co.za
De Bruyn Spectroscopic Solutions;ultraspec@mweb.co.za
Tile Africa;umhlanga@tileafrica.co.za
Unique Weighing Services CC;unique@intekom.co.za
Unjani Clinic - Villa Liza;unjani.villalisa@outlook.com
Accessories Unlimited;unltd@fan.co.za
Stabilis Development (Pty) Ltd;upington@stabilis.co.za
CTM (Upington);upingtonbm@ctm.co.za
Paper Recycling Assn Of South Africa;ursula.henneberry@pamsa.co.za
Arrow Advertising & Design;ursula@arrowadvertising.co.za
Rose Foundation;usedoil@iafrica.com
Pienaar Bros;vaaltts@mweb.co.za
Valley Distribution Equipment CC;valley@intekom.co.za
Johnson Crane Hire (Pty) Ltd;Vanderbijlpark@jch.co.za
Hychem Kzn (Pty) Ltd;vanessa@hychem.co.za
Greg Symons Van Hire;vanhire@netactive.co.za
Hydraserve Hydraulics (Pty) Ltd;vaughan@hydraserve.net
V-Col Products (Vredendal);vcolproducts@mweb.co.za
The Specialised Group;veena@specialised.co.za
CJ Dustraction Systems (Pty) Ltd;venesia.hendricks@gmail.com
Atlas Star Engineering CC;venterfam@mweb.co.za
Permanite Construction Products CC;veran@permanite.co.za
Container Domestic Services (Pty) Ltd;vernon@cdscape.co.za
Bobcat Equipment (SA);vharrison@bobcatsa.co.za
CTM Vhembe;vhembebm@ctm.co.za
Nivitex Fibreglass & Resins;vic@nivitex.com
IMCD (SA) (Pty) Ltd;victor.muhlenbeck@chemimpo.co.za
Civic Civils;victor@civiccivils.co.za
Victoria House Imports;victoriahouse@mweb.co.za
Dimension Plastics;vijaydim@telkomsa.net
Universal Water Solutions CC;vikesh.daya@uws.co.za
Vic-Lets Civil & Construction CC;viletscivils@live.co.za
V V K Engineering (Pty) Ltd;vilko@vvkeng.co.za
Granite Warehouse;vinodramdheen@gmail.com
V F Steel Solutions;vinofrutta@mweb.co.za
Vital Sales-Durban (Pty) Ltd;vitaldbn@gratings.co.za
V J G ENGINEERING CC;vjgenginnering1@gmail.com
V J Glass & Aluminium;vjglass@telkomsa.net
VKB Milling-Frankfort;vkb@vkb.co.za
Vodacom 4U (Sunnypark);vodacom4u.sunnypark@vodadealers.co.za
Vormbaum Engineering CC;vormbaum@netacive.co.za
Vaal Scrap Metals;vsm@cyberserv.co.za
Stateline Pressed Metal;vuyo@spmza.co.za
Clarke's Crane & Grab Sales;walter@ccgs.biz
Cherry Industrial CC;warwick@cherryindustrial.co.za
TRANSPACO PACKAGING;wassel.victor@transpaco.co.za
Grundfos Pumps;waterhouse.pumps@gmail.com
Spectrum Waterproofing & Painting Specialist;waterproof@telkomsa.net
Waterzone CC;waterzonecc@mweb.co.za
Cutting Edge Technologies;wayne@cetlaser.co.za
Epoxy Flooring Systems (Pty) Ltd;wayne@epoxyflooring.co.za
Hutech;wayne@hutech.co.za
Laser Junction;waynee@laserjunction.co.za
WC Industrial & Engineering Supplies CC;wcdup@tiscali.co.za
W D J CONSTRUCTION;wdj@cornergate.com
H20 Waterversagting RSA BK;webcor@wol.co.za
C T M;webstore@ctm.co.za
Weideman Engineering;weidemaneng@telkomsa.net
Weld Done Fabrication (Pty) Ltd;welddonefabri@telkomsa.net
Adendorff Machinery Mart;welkom@adendorff.co.za
Johnson Crane Hire (Pty) Ltd;Welkom@jch.co.za
Moving Tactics (Pty) Ltd;wesley.johnston@movingtactics.co.za
Westvolt Electrical Supplies & Training Services CC;westvolt@telkomsa.net
Wetchem CC;wetchem@mweb.co.za
Duro Pressing (Pty) Ltd;whiteriver@durowin.com
Mykay Tronics CC;wholesaler@polka.co.za
Wictra Holdings;wictra@workmail.co.za
Wild Cotton;wildcotton@worldonline.co.za
Stainless Tech;willem@stainlesstech.co.za
Anvil Radiators & Tanks;willenbergk@trudon.co.za
Mphilisi Construction;william.mphilisi@gmail.com
BMG Hydraulics (Secunda);willie@bmghydraulics.net
Willem Coetzee IT;williecoetzee@gmail.com
Coastal Tool Hire Boksburg;willim@mweb.co.za
Pro Auto Rubber (Pinetown);wilma@proautorubber.co.za
Windows Express;windowexpress123@gmail.com
Wire Belt Systems SA (Pty) Ltd;wirebeltsys@mweb.co.za
West Pack Lifestyle;wkrp@westpacklifestyle.co.za
Coricraft;woodstock@coricraft.co.za
Workmatch CC;workmatch@mweb.co.za
Midco Engineering;workshop@midcoeng.co.za
Epilepsy SA;workshopadmin.sck@epilepsy.org.za
World Impact Suppliers;worldimpact2010@yahoo.com
A G M Glass;wozani@sai.co.za
Woza Woza Builders Suppliers;wozawozabuilders@gmail.com
Water Technology Plastic Industries (Pty) Ltd;wtpi@icon.co.za
SS Enclosures CC;wynands@ssenclosures.co.za
X-Chem;xcmavi@gmail.com
Phoenix Steel (Richards Bay);xpanda7@argent.co.za
X-Press Dies CC;xpressdies@mweb.co.za
Yale Engineering Products (Pty) Ltd;yalejhb@mweb.co.za
Sancon International (Pty) Ltd;yas@smartind.co.za
RS Customz;yash2maharaj@gmail.com
Cutrite Glass Works (Pty) Ltd;ychetty@cutriteglassworks.com
Y-Not Tool & Plant Hire;ynottools@gmail.com
BlueScope Steel (SA) (Pty) Ltd;yolande.mellet@bluescopesteel.com
Transcape Steels (Pty) Ltd;yolanded@transcape.co.za
Manuli Fluiconnecto (Pty) Ltd;yolandi.vanrooyen@fluiconnecto.co.za
The Mustard Seed Christian Academy;yvette@tmsca.net
Grindrod Intermodal (Pty) Ltd;yvonnem@grindrodim.co.za
Eikestad Dental;zac@eikestaddental.co.za
Arcelormittal South Africa;zanda.mototi@arcelormittal.com
KWAAI LAPPIES;zayaanbrown289@gmail.com
ABC Pumps & Engineering CC;zelda@abcpumps.co.za
Durocast (Pty) Ltd;zelda@durocast.co.za
Windovert (East Cape);zena@windovert.co.za
Customised Stainless Steel;zenda.css@gmail.com
Zeta Laboratories;zetalab@webmail.co.za
Zhaun's Group The;zhauns@zhauns.co.za
H G Molenaar & Co;zone.malan@hgmolenaar.com
Zuka Aluminium;Zuka12hlongwane@gmail.com
Resilient Group;zukongete@gmail.com
