Business Name	Phone
The Electro Surgeon	 86 135 3287
Southern Star Electrical Contractors (Pty) Ltd	 86 177 4768
Lets Fix It	 86 727 2937
GP Electricians East Rand	 87 550 2868
Electrician Pros East Rand	 87 550 2868
ZUFI	 87 898 0849
Stan and Neo Electrical Maintenance	 60 791 2222
Ant Electrical	61 026 7185
Electrical work & Plumbing	61 193 9807
Power Tech Direct	61 358 2498
Easy Save Solar supplies	61 366 1974
Gael Electrical	61 438 8698
The Technixians	61 494 3510
Petercon Plumbers & Construction Projects	61 647 7575
Voltage Infinity-Power Solutions	64 200 9076
AR Electrical & Solar Services	64 256 0595
Plumbelectric	64 704 8111
BRS Electrical Refrigeration and Air-conditioning	64 757 0237
Electrisam (Pty) Ltd	65 902 4706
Electricians-SA	65 903 0498
Pa Electrical and Plumbing	66 148 0923
Echzet Electrical & Plumbing	68 276 2525
Nelrud	69 5602691
Moytee Projects	71 041 6177
Wizard Electrical	71 144 4324
J Hope Electrical	71 152 2222
24/7 Care Electrical and Plumbing	71 231 1207
Brian's Electrical	71 492 0619
Dan Electrical	71 630 7424
J-Lu Electrical	71 688 5911
Lighthouse Electrical	71 874 2297
chiduelectrical and construction	71 902 2009
S M K Perpetual Electrical	72 053 7900
RoyalBld Trading & Projects (Pty) Ltd	72 129 9257
VS RAMS TRADING AND PROJECTS (PTY)LTD	72 206 3185
J C Malan Elektries	72 226 8602
Aquascape Outdoorz	72 294 3702
BossLec Electrical Services (PTY) Ltd	72 299 7298
U B Electrical & Construction	72 392 2961
MOSES THE ELECTRICIAN	72 413 6548
TNS Electrical	72 450 7398
LWM Electrical	72 459 2253
DB Electrical	72 501 2312
Lugisa Group	72 604 6092
Hebert Electrical and Plumbing maintenance	72 626 8077
Delinq Electrical Services	72 754 3597
Amber Electrical (Pty) Ltd	72 764 0707
Thaps Electrical PTY LTD	72 867 9913
Thebu Electronic Services	72 932 0323
TW Motor Gate Repairs	72 979 7722
JM Pro Electrical	73 075 2866
Lazis Electrical	73 127 3921
Tjap Construction (Pty) Ltd	73 223 4716
Wiremasters Electrical Co.	73 224 1462
ElectricianPretoria	73 227 3618
Ayakhanyisa Trading and Projects	73 260 6381
Civil&construction	73 404 1958
Remmogo Electrical Maintenance And Construction	73 432 9686
Juspropa	73 434 2008
Vigilants Plumbing and Electrical	73 470 7373
MODEL ELEKTRIES	73 683 9151
Destiny Plumbing Pty Ltd	73 698 9277
Ontime Electrical	73 912 3450
K C K Electronics CC	73 915 0041
Evarow Electrical & Security Systems	73 956 6301
Smart Care Appliances (Pty) Ltd	74 232 0013
Green planet electrical and projects	74 260 7747
A24 Electricians Johannesburg	74 461 9958
Malles Electrical	74 754 6468
Nsb Electrical and Solar System projects	74 953 1758
Evacon Industries (Pty) Ltd	76 212 5065
LM Electrical and Plumbing	76 268 7341
Fides Powwer	76 457 6170
Drecomet Electric	76 477 3651
INLEC ELECTRICAL SERVICES	76 501 7638
Macc Hydrotech	76 597 5603
Eastend Electronics	76 926 8115
JL Electrical & Maintenance	76 968 3875
Mzi Electrical PTY LTD	78 185 8501
APTECH ELECTRICAL	78 193 9986
Japride Electrical	78 225 5658
Admuc Electrical and Engineering	78 308 3936
EZN Eletrical	78 365 3578
Clocktech Electrical (Pty) Ltd	78 544 5963
Divine Heights 48CC	78 587 0189
ElectricianJohannesburg	78 609 3044
Dstv Cable Guys	78 795 1265
Afritex Electrical and Projects	78 839 2023
Umkwethe Trading And Projects	78 853 1022
CL Maintenance and Electrical	78 996 0953
PJ Electrical	79 048 8547
S² Electrical	79 151 2446
El Shadai Engineering	79 244 4045
WireGuys	79 432 5896
Ntokozo Electrical Technical & Handyman Services (Neths)	79 433 5205
Hsp Renovations	79 499 5903
BANDEZI ELECTROTECH	79 606 2639
Gauteng city electrical services company contractor	79 702 7379
Dennis electrical and plumbing Pty Ltd	79 757 7489
Somsine (Pty) Ltd	79 942 8448
Continuity Tech Mach (Pty) Ltd	81 066 0916
MA Williams Electrical	81 343 0499
Vanico & oak corporation	81 356 4364
Master Electrician 247 PTY LTD	81 385 8768
Low KiloJoule Merchants	81 423 3237
Mdlangathi Investments Electrical Services	81 446 4024
Emmanuel Projects and Electrical	81 446 9897
Rayane Contracting	81 536 3337
Volt Current Electrical Pty LTD	81 587 9150
Fanana sizabantu electrical	81 700 1043
Lighting Mark	81 770 6769
Madiba Madiba engineering and construction PTY ltd	81 798 1139
ag group plumbing	82 052 5323
PFC Services	82 090 7137
Dynamic-electrical	82 092 8280
Cayluh Electrical Contractors & Suppliers	82 226 0298
Fide	82 306 1201
G Square Installations CC	82 308 2763
Perfecto Plumbers	82 332 9216
Fix a Drain Plumbers	82 374 7171
Roshvaal Electrical Contractors	82 376 3232
MassElek	82 383 8851
M&O Electrical	82 391 8776
Motor Spark Sa	82 443 0128
Electrical 4 U	82 444 8311
Electrical Assurance	82 446 5016
Fixit Maintenance	82 477 7271
Dreyville Electrical	82 496 4191
Heroks Elektries	82 527 9974
PEARL Electric PTY LTD and SOLAR	82 566 1406
Doigs Electrical	82 569 1419
Elliot Electrical	82 573 7098
CWL Electrical	82 578 1255
Destiny Electrical	82 584 0067
Lee-Enterprises	82 771 9594
Tappans Electrical	82 786 2629
Electronic Engineering	82 818 4644
Nodds Interior Contractors	82 820 8787
Buzz Light Year Electrical.	82 824 9394
Louis Electrical	82 828 4307
Coenen Electrical	82 852 4931
Owens	82 857 4547
J P Electrical	82 873 5980
Electrosol	82 874 5244
A'Lite Electrical CC	82 891 2185
Altex Electrical	82 958 0809
Star Electrical	82 976 6420
PowerFlow Electrical	83 218 0167
Uts Electrical	83 256 3635
Earth Wire Electrical	83 256 5251
Bear Electrical	83 271 0689
Electrocure Electrical	83 277 1554
TC Faith Generators	83 290 8395
Sensor Electrical	83 294 3678
Gaselec Electrical	83 299 0417
Voltic Air | Electrical & Air-Conditioning Service	83 333 8015
AGISANANG	83 444 0216
Njalabaza Building Construction	83 466 6929
AnicTom Electrical and Lighting	83 640 3151
Gauteng Solar Solutions	83 650 1768
BIG 5 ELECTRICAL	83 654 3070
CLS ELECTRICAL	83 708 0699
SJW ELECTRICAL cc And Stawilly Services	83 777 0357
DNDM Electrical CC	83 795 2430
011 Plumbers	83 894 1846
electrician boksburg	83-859-9580
Generic Construction	84 232 2663
HeyyloDStv Installations	84 391 0603
Iljoka	84 805 0439
EPAAN PROJECTS	84 866 3980
