Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
"business","Business management consultant","Business Intelligent","20 Georgian Cres E, Bryanston, 2191","Bryanston","Gauteng","","South Africa"," 0842444129","","http://www.businessintelligent.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xee952d34b0c411c1",""
"business","Business management consultant","Milele Group","Unit 3, 1st Floor, Parc Nicol, Office Park Bryanston","Sandton","Gauteng","","South Africa"," 0114635554","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa5854296fd9aef80",""
"business","Real estate developer","The Braes","193 Bryanston Dr, Bryanston, Johannesburg, 2001","Johannesburg","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2b117b0eb2062a6d",""
"business","Doctor","Hampton Office Park","20 Georgian Cres E, Bryanston East, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0118756541","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8ac25efce7c5f585",""
"business","Office space rental agency","The Campus","Main Rd, Bryanston, Midrand, 2191","Midrand","Gauteng","","South Africa"," 0115758822","","https://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x76f3b71aa3d74d7d",""
"business","Office space rental agency","Cube Workspace Bryanston","1 Wedgewood Link Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0861112823","info@cubeworkspace.co.za","http://cubeworkspace.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x481368131dd81341",""
"business","Business management consultant","Cassava Smartech","Anslow Office Park, 8 Anslow Ln, Bryanston, 2196","Sandton","Gauteng","","South Africa","","","http://cassavasmartech.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x5c5460573879d119",""
"business","Business to business service","Business School of Entrepreneurship (Pty) Ltd","Wedgefield Office Park, Block A, 17 Muswell Rd S, South","Sandton","Gauteng","","South Africa"," 0113173777","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84ce534e7a210428",""
"business","Business management consultant","National Group","Westminster Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0102130484","info@nationalgroup.co.za","https://www.nationalgroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xfbced005ac6c8627",""
"business","Corporate office","AB-InBev Bryanston Office","56 Grosvenor Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0118818111","","http://www.sab.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xce7e691bc9c657af",""
"business","Business management consultant","Innovation Boutique","Hobart Road, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105911251","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf27ec95161913c6c",""
"business","Business management consultant","Total Business Consulting","39A Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114634549","info@totalbusinessconsulting.co.za","http://totalbusinessconsulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdcee173d86cb0e7",""
"business","Business management consultant","SAPRO Africa","Block B, Knightsbridge Office Park, 33 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101572342","hr@sapro.com","https://www.sapro.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa9bd8c64b7af8aaf",""
"business","Corporate office","SAB - ABInbev Africa Headquarters","56 Grosvenor Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114071700","","http://www.ab-inbev.com/about-us/our-markets.html","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6196a9d53067295a",""
"business","Software company","PRP Solutions","Building 9, Somerset Office Park, 5 Libertas Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0861000476","","https://www.prpsolutions.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2bfddb9a63d046e0",""
"business","Business management consultant","Tulo Vation","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115684660","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6a5bd66e0b9d0fd5",""
"business","Business park","Regus - Johannesburg Bryanston The Campus","Ground Floor, The Campus, Twickenham Building, Cnr Main , Sloane St, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0115756000","","https://www.regus.com/en-gb/south-africa/johannesburg/bryanston-the-campus-638?utm_source>>u003dyext_places_gmb>>u0026utm_medium>>u003dplaces>>u0026utm_campaign>>u003dyext_traffic>>u0026utm_content>>u003d638","","","https://maps.google.com/?hl=en_US&cid=0x0:0x82a7f241078ffe5e",""
"business","Economic development agency","Circle of Global Business Women","On Sloane, 22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101100443","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x3b9d637e43118289",""
"business","Accountant","Ben Milner’s Consulting Services","38 Grosvenor Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114634433","bmtcadmin@bmtc.co.za","http://bmtc.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7eaafa56a2ec19c",""
"business","business","Gauteng","","","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6d9ee7c7cb5438e2",""
"business","Insurance agency","SFU1","Ballyclare Dr, Bryanston, Sandton, 2021","Sandton","Gauteng","","South Africa"," 0723606746","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84a3b358091a1a52",""
"business","Human resource consulting","InterGest South Africa","Ground Floor, Block C, Knightsbridge Office Park, 33 Sloane St, Bryanston East, Bryanston, 2021","Bryanston","Gauteng","","South Africa"," 0114761725","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc1db8260f79427e0",""
"business","College","Stafford Business School","Cnr Main , Sloane St, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0743009714","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf3471293bea4572b",""
