Business Name	Phone
Sutol Engineering	783263664
Katulushi Engineering and Electrician COC Certificate of Compliance Pretoria East	783889884
Auto and General Engineering	786569548
Bryssmart Engineering Solutions (BENGS)	786986996
Bengs Greenhouses	786986996
Port Alfred Aerodrome FAPA	787949762
JP Electrica	789162117
N T A engineering and projects	791517220
Moto mec specialist	795912968
AUL - Amped Up Logic	798820919
General Turning	799818919
Metalman Engineering, Port Elizabeth, South Africa	812197477
T.D.H. ENGINEERING	815296880
Paterson Tyres and 24 HRS road assistance	815631120
ETHELSON Holdings Pry Ltd	817656530
Thitan Electrical And Engineering	822202289
EAMEKH CONSULTING ENGINEERS	822910156
Designed Engineering Solutions	823069830
NP Engineering	823350945
Siroccon	824100599
Factory Automation  Engineering	824172975
ABS Automotive Engineering	824965318
CAMBEV	825622798
CAMSPEC ENGINEERING (PTY) LTD (South Africa)	826236163
Built Environment Partnership	826549620
Sebego Maloka  Viljoen Civil Engineers (Pty) Ltd	826572886
Stanwill Precision Engineering	827856645
Errowa (Pty) Ltd	828139895
hendrik engineering pretoria	828667198
Art Engineering	829029533
Secure It Security Solutions	829076773
Grahamstown Automotive Engineering	829227896
Forric General Engineering cc Zandfontein 317-Jr, Pretoria	832663553
JD Electrical	832764627
MEGA Engineering	832957362
Etali Engineering and Projects Cc	833519626
GELO Engineering	834412752
SF Gear Engineers	836266723
Luvanize Engineering	836279813
MQR Engineering Solutions (Pty) Ltd	836337422
DC Electrical Port Alfred	836502229
Doornpoort Engineering	836506584
Ocean Engineering	836543123
Meco Engineering	836853441
JustPerfect	837027952
Cape Fabric Engineering	842001633
mackana techniques	843003354
GN Coatings  Engineering	845987006
Eco Tech Waterproofing  Rubberizing	846607912
RT AUTOMOTIVE ENGINEERING	847939742
Professional Metal Fabrication and Welding Engineering.	849786003
PVA Consulting Engineers	861106256
Engineering Council of South Africa	861225555
TANDM - Gauteng	870920920
Ultimate Partner - Gauteng	870920932
Streng Consulting Engineers (Pty) Ltd	870948887
isiphethu	871352447
Celankobe Engineering and Architectural Consultants	871520083
Lefata Engineering (Pty) LTD	872654060
Gavron Engineering CC	878217392
EDL Consulting Engineers	878975076
