Business Name	Phone
Brillient Engineering	606992647
EPM ELECTRICAL AND CONSTRUCTION	613003024
Coachman Engineering and Drafting	615393026
PhelTech Engineering (PTY) LTD	615475662
International Engineering 24	616858178
Anludor Engineering PTY LTD	621300580
Plumbrings Projects and Services Pty Ltd Company	622411336
Twist Engineering	644989840
Ifubesi Engineering	645071416
Industrial Computing Engineering	655553600
Justady Engineering	658240432
Omnia Engineering (Pty) Ltd	658273322
Orateng Business Solutions	659080040
NP Engineering	659132946
Dikatlego Engineering	659415331
Mbiya Engineering	665361162
Engineering	679958524
Engineering service	680231050
RoboSpace	683444506
Ali's Auto Mech	685278412
MSE Solutions SA	685853142
Diagnostic Car Doctor	691366174
Adisanet Engineering and Environmental Building	691444640
Mas Mul Engineering	713705426
Zaeng consulting and construction engineers	713814608
303 Engineering	714911901
NPH Engineering Consultants	718973200
Peace maker white Group (PMWG)	720991354
CrEng	721234567
Drent Engineering	721294319
SA Engineering Dynamics	721598000
Amos's auto electrical mechanic	721716300
Engineered Probing Solutions	721903848
B.G.P General Engineering	722395899
MOBILE AUTO POINT SERVICE	723409889
Rebel Metal Engineering	724076544
uzomotors	724631457
Lum Engineering and Construction	724697994
ENGINEERING SA	725132554
MNISE HOUSING	726435632
TDC Engineering	728722296
Sisco Motor	728855425
LTK RENOVATION PROJECT	729566946
Antwerp Designs	731265229
EDKA Engineering Services	732409962
IMEC Engineering Gauteng	735825787
K Engineering and Training	735922958
Ryno Nel Engineering	737818255
Yomukono Civils	738656512
Refrigeration electricmachanics engineering	739750777
Nyoni Engineering Pty Ltd	743112050
Cpm service	748361497
Nengwekhulu Holdings	760752878
NGV Geotechnical (Pty) Ltd - Pretoria Office	762276808
JBK Engineering	762569088
LIT Supply  Sourcing	765468192
GL Competent Consulting Pty Ltd	765841027
Kopano Engineering and Consulting	767181101
4413 Consulting Engineers (Pty) Ltd	768238886
MAILA MOTOR VISION	768271968
SolProv Engineering (Pty) Ltd	769797100
Solidworx Engineering	769915996
Mgolosi Engineering Services	782367597
Superlegend steel work	783434923
Katulushi Engineering and Electrician COC Certificate of Compliance Pretoria East	783889884
Talent Consulting Engineers	785783142
Auto and General Engineering	786569548
Chrisen Consulting (Pty) Ltd_Civil, Structural and Transportation Engineers	788000369
MZ CIVIL ENGINEERS	790816598
N T A engineering and projects	791517220
Mventech (Pty) Ltd.	793453364
CUTTING EDGE TECHNOLOGIES	795041474
Executive NDT (Pty) Ltd	795722443
Moto mec specialist	795912968
Wapy Engineering and Welding Works	796056378
Industrial and Commercial Cost Engineers	796700101
MMND ENGINEERING	797158941
Eisenwize Engineering (PTY) ltd	798817716
General Turning	799818919
Route 66 Engineering	810934998
Integrated Engineering Solution’s	813824676
GMK Engineering	814271390
DIPPENAAR  LAPAGE	814496431
DL Structural Engineers (DLSE)	814496431
Pemahn Consulting (Pty) Ltd	815465915
Coil Engineering	820650454
AC Electrical Engineering	822184570
Thitan Electrical And Engineering	822202289
EAMEKH CONSULTING ENGINEERS	822910156
HDS Engineering	823030545
Designed Engineering Solutions	823069830
Shalosh Engineering	823120011
