Business Name	Phone
CAMTECH Services	604431392
Fix Engineering	608430106
Sparkie Innovation Solutions (Pty) Ltd	608530455
AAN DIE OEWER GUESTHOUSE	615491469
Riverton Precision Engineering	615807108
RJ Tooling	616115562
649 Top street	635259723
Elimade Engineering	648473388
Sasol Engcobo	659675887
Elan Technical	662379198
Nate's Automotive	663284533
PDB ENGINEERING (PTY) LTD	664600581
Steelworks  Engineering	665930897
Revolt Electric	674063485
Munkuli Engineering (Pty) Ltd	683965747
Efficiency Engineering	711452485
Eco Delighters	713086793
Enduric	721096379
Civolt Projects (Pty) Ltd	722624037
AML ENGINEERING TECHNOLOGY	722884542
Khayalethu Consulting (Pty) Ltd	726270699
Bayvalve Instrumentation Co	727661946
Ricky beetle and electrical Inspection and maintenance plus pest control	727665399
tshedu electrical and projects	730296382
EJN Engineering	732672730
Focus Consulting Engineers	735041533
Eersterivier Propshaft Repair Centre	736699340
KWASI ELECTRICAL WORKS	736884210
FLEMMER CONSTRUCTION	738776507
NKR Consulting Engineers	738964848
Mega Tech Engineering	760274395
Rietjiesbos Self Catering	764734589
Go Electrical Nation Engineering	767730494
KwaNomzi Boutique Lodge	769397629
Sutol Engineering	783263664
LIC ELECTRICAL AND CONSTRUCTION PROJECTS	783805277
9 Elandrivier	783983527
PMM Electrical Projects	784863917
Innocent Electrical	785533505
KOLIMONTY	789289759
Mech-Cen Engineering	791843058
Engineeric Solutions	793595892
Sneeuberg Steelworks	798223454
Beau  I	798728534
Mechanical engineering	812356298
TSO Civil Group (Pty) Ltd	813010188
NABBY PROJECT MASTERS (PTY) LTD	815401402
Destiway - Electrical	817549758
Russco Field Maintenance	818597828
MLD Technologies	822021909
Town Engineering	823325624
OBD Automobiles  Training	824206252
AWIE VAN DEN BERG	824552641
Ideal Engineering	824938938
Eagle Engineering Projects PTY (Ltd)	824953135
GG Motors	824982882
MTD	825778922
Obesa Lodge	825885900
Mr Cupboard	827408139
Enrom Engineering	832924099
Etali Engineering and Projects Cc	833519626
Rubber Coating Technologies East London  Surrounding Areas	834173330
GELO Engineering	834412752
Gonelectrical	836540590
Ocean Engineering	836543123
Meco Engineering	836853441
Sbu Stone	839597231
Simkho Sales	839640502
Profcon Resort	842082340
JDE Civil  Structural Engineers	842085010
GcinaSonke	843570117
Elkanah Machining and Supplies	845039284
Engineering Council of South Africa	861225555
Dihlase Consulting Engineers (Pty) Ltd	870781657
