Business Name	Phone
Fix Engineering	608430106
BLUE ENGINEERING KwaZulu-Natal	608623991
Africa Engineering Consulting Services	614501932
Wisetec	631518105
KWattWorx Electrical	632607187
Twist Engineering	644989840
Cofimvaba Science Centre (officially Albertina Nontsikelelo Sisulu Science Centre)	649601113
Imvusa Trading 1628 cc	649659272
Umzila Engineering	655702716
Imbaza Projects	658062421
Mechatronics Engineering Solutions	712300701
TSG Consulting	714393431
INTUTHUZELO on Bridge	721894096
GTS auto service. Trucks, vehicles, gearbox repairs	722862143
Kontinental Engineering Consulting	722933284
CTA Automobile  Truck Services	723589094
ENGINEERING SA	725132554
DU PREEZ ELECTRICAL	726856698
777 MOTOR SPARES	727029792
EJN Engineering	732672730
Strategic Infrastructure Development Investments	763049555
ZIH Consulting	763763665
EASYPEASY TRADING AND PROJECTS	768593920
Eastern Cape Technikon	783114760
Lwando's Electrical Enterprise(PTY) LTD	810183920
siba electricals and aluminium projects	812791535
Tekno Auto Spares  Battery Centre Butterworth	814880880
Coil Engineering	820650454
Fedpump CC	824550528
Clarkebury Hostel	825363995
Clarkebury SS School	825363995
Redford Engineering	827614679
Joherda Electrical Contractors	828221271
Kei Electrical	832843641
Mogul Engineering	835895526
NZIKINZANE NDOKOSE ELECTRICAL SERVICES ( PTY)LTD	836587613
Gcuwa Auto Engineering (trading under BOBS Engineering)	837658199
Bronitek Technology	838802301
MC-Welding	845522111
Engineering Council of South Africa	861225555
Cynprince Engineers	876546460
