Business Name	Phone
FirstShop	 80 039 0021
SPA Brands Product Manufacturer & Supplier	 86 111 2580
New-Vac Rentals (Pty) Ltd	 86 163 9822
Gimme Power	 86 192 7341
Lucien Morwane Concepts	 86 741 8779
Africa Baby	60 692 2222
Axis Group	60 933 9394
We Trade Property	60 971 3166
"U-Lande The Nail, Feet & Facial, Wax Salon"	60 997 1023
Silver Arrow Design	61 051 1094
Itsc Media	61 157 7231
Night Nanny	61 403 6414
Creative Muscle Gym	61 431 4609
Auto Glaze	61 502 8373
Just Tax	61 751 8731
Future Trust Holdings (Pty) Ltd	62 096 2562
Incubator Experts	63 781 8871
Flash Steel [Pty] Ltd	63 864 2183
Azizi K Couture	64 683 6788
kuyana tar surfacing & block paving	65 580 8962
All Areas Locksmith	71 101 4482
Grand Elements (Pty) Ltd	71 169 7011
Electrical and Plumbing Bizze HQ	71 698 3751
All Parts Unlimited	71 792 3030
Fire Desire Entertainment	72 033 5535
Amandla Promotions	72 043 1568
Athens Electrical Compliance Certificates	72 044 6530
"Aerolite Gauteng, Johannesburg, Pretoria"	72 094 4697
Advent Handy Projects and Carpentry	72 283 7880
The Potshack	72 375 6652
Alumen	72 424 3789
Nomadik Tents	72 443 9361
Security Quote	73 085 4347
Juspropa	73 434 2008
ktenergysolutions	74 111 4840
Mac Construction	74 144 8307
All Water Supplies	74 434 2257
Qf Aluminium Projects Cc.	74 485 7805
Stralt Industries PTY Ltd	76 162 7021
Specialized Waste Solutions	76 659 5138
Spy Shop Online 360	78 697 5766
021 catering and projects	78 913 1494
St Marc's Mining	817325757
St Marc's Mining	785517864
Earthmoving Clinic	79 373 4390
Geo Enviro Cycle (Pty) Ltd	079 383 7745
Spitz & Bitz Catering	079 726 7525
Mister Gigie Clothing	081 782 0713
Marvelous Minders	081 840 9048
LCD Enterprises	082 262 6210
Marketing Fanatics	082 294 4284
Attache Guest Lodge and Health SPA	082 308 8132
EuroLift	82 387 0763
Faith Human Solutions	82 411 7062
Mine Parts Marketing CC	82 417 0225
A Little Paradise Guest House	82 443 0432
Deep Cleaning 2000	82 444 1548
The Freight Team	82 514 8684
Perpetual Pulse	82 575 5959
Super Tyres & Vulcanizing	82 641 7610
Lock & Roll Self Storage	82 655 5065
Real Solutions	82 900 4805
Servicepro	82 921 7243
Equi-Feeds	82-440 7592
W f Renovators	82-573-7914
Dragon Sourcing	83 230 9342
Sarabi Country Lodge	83 234 8655
Africa Rising Travel & Tours	83 262 0437
Dzine a Blind	83 324 6847
Athena Advertising	83 369 7532
Fc's Home Express	83 397 7092
Decorative Curtains	83 417 8038
Fishers Windows Doors & Decking	83 4440655
Kidzville Kids Party Venues	83 463 1429
Silver D IT Solutions	83 474 1467
Ukhanyiso Ebantwini (Pty) Ltd	83 656 3736
Wicked Fox Designs	83 737 5334
Vaal Tachograph Centre	83 7503121
Fairy Inc Decor	83 8902676
Generic Construction	84 232 2663
Triple E	84 403 0013
BestCamps.Co.Za	84 463 4663
The Frame Cafe	84 620 2655
Nashfin	84 628 9484
SPICEMATE	84 772 9555
Mooney Tunes Reflective Dog Safety Vests	84 840 9908
Braeven	84 888 3283
