Business Name	Phone
Road Lodge Germiston Lake	 80 011 3790
The Maboneng Precinct	 86 133 3444
Forest Creek Lodge	 86 549 0802
Thornton Gap Guesthouse	 87 056 3607
Once In Joburg	 87 057 2638
Richmond Corner Student Accommodation	 87 352 2767
The Richmond	 87 365 3166
Holiday Inn Johannesburg Sunnyside Park by IHG	 87 630 0446
Monkey Thorn Guest Lodge	 87 702 6135
Melville House - Accommodation	 87 802 7452
Palm Continental Hotel	 87 805 7256
Laughing Waters Guest House	60 397 4735
Just B Guesthouse	60 525 8390
Thandamanzi Self Catering	60 584 4971
Oliver's Bed & Breakfast	60 584 8165
Khaya4u	60 670 7846
Forget Me Not Guest House	60 778 2585
"ikamu""s lodge"	60 953 2613
The Queen of Calitzdorp	60 992 2797
NAD Living	60 998 2036
Shengtang Business Hotel	61 284 3340
Zululand Country Lodge	61 388 0921
Kv Luxury Guest House	61 513 3625
Andranus Guesthouse	61 523 7859
Ease @ Epa! Valley Farm Stay	61 547 6822
Dullstroom Conference Centre @ The Highlander Hotel	62 279 3808
Mayberry Park Guest Lodge	62 406 3378
Olivier's Rust	62 460 5084
Cango Retreat- Ou Tol	62 690 9822
Woodlands Guest House	63 065 6930
Platinum Guesthouse	63 113 2382
Blue moon guest house	63 318 1429
Mahoua Resorts	63 447 6736
Businessburg Hotel	63 457 4961
59 On True North Guest Rooms	63 462 8824
Belladona Guesthouse - Nelspruit	63 608 4576
Barberton BnB Guesthouse	63 976 3687
Sabi Sands Lodges Reservations	64 283 1384
Soul Gardens Self-catering Budget Stays	64 514 9963
Iminathi Lodge	64 732 1579
De Akker Guest House	64 774 4343
Campus Central Student Accommodation	64 850 8486
Argyll B&B	64 867 8254
Platinum Guest House	65 622 1917
Derrick Guest House	65 639 3788
His Glory Guesthouse	65 677 0546
Melville Guest House	66 215 0993
Urban Backpackers	71 013 8537
15 Witpeer Street Guesthouse	71 163 8341
Macker Riverbend Cottages	71 197 5231
The Maxton Boutique Hotel Upington	71 302 6422
86 on Jubilee	71 339 6993
The Red Barn Dullstroom	71 354 7493
IBH - In Between Home	71 357 1746
D & H Guest House Graskop	71 385 8735
The Highland Rose Country House & Serenity Spa	71 388 6466
Kalahari Rus Guest House & Self-Catering	71 414 7057
Wesselsheim Bed and Breakfast	71 424 9262
Sabie Retreats Guest House	71 529 1108
Daze House	71 553 6566
Charlie's Spot	71 588 9241
Escape to the Country: South Africa	71 648 4357
DDP Africa Hotel	71 697 6505
Ceasars Castle Guesthouse	71 904 9465
Lorelei Guest House	72 016 3560
The Gables Guesthouse	72 022 2304
Hummingbird's Nest	72 044 1061
Esperanza Self-Catering Accommodation	72 109 6271
Cape Robin Guest House	72 117 2295
Bosveld in die stad 2 Guesthouse	72 123 4250
"Two Falls View, Self Catering for Couples"	72 128 1098
KlipHuisjes	72 140 7611
Hadeda Hall Guest House	72 141 1537
Thula Thula Volunteers Academy	72 142 2309
Greystone Lodge	72 149 8261
DREAMSTAY GUESTHOUSE UPINGTON	72 157 7124
Beverley Hills Guesthouse	72 174 3442
Irelander Self-catering Flats & B&B	72 212 1169
Amali Guest Houses	72 222 7232
Amour Guest House	72 235 9857
Villa Vittoria	72 238 3826
Nkawu Cottage	72 247 3886
Highland Giants Estate	72 252 0220
Vetfontein Gastehuis	72 255 1342
Seaview Executive Guest House Mtunzini	72 261 1112
Naomi's Place	72 277 4677
Ed- Laurdon Guest House	72 310 3651
Rusty Hook	72 312 0536
Wernich Landgoed	72 407 5905
Birds Babble Self Catering Guesthouse	72 454 9511
The Fours - Student Accomodation	72 502 6767
Wölfe Krantz Guest House	72 515 0024
Red Door Guest Room	72 525 0150
Safari Bed & Breakfast	72 540 4899
Outeniqua Inn	72 554 3070
Tehillah Gastehuis - Guesthouse	72 565 4983
Pat's Place Guesthouse	72 571 1437
IDC Foods	72 574 7931
Lushguesthouse	72 575 0437
