Name	Phone
"IVO's ELECTRICAL - Lower South Coast; KZN"	603120837
DA Auto	603259687
Sphe's Repairs	604897252
VHD Staal  Engineering	605553446
BLUE ENGINEERING KwaZulu-Natal	608623991
DENMOR Repairs . Service . Diagnostics	610709441
Electric Maintenance and Services	614157333
EMD Engineers	614601517
KT Con Group	615057706
GTR Engineering	615341730
SAS Structural Engineers	615348453
Gas Elektrik	616842610
ANDY ENGINEERING SOLUTION PTY LTD	632499261
Sheobalak Engineering	635011120
Aligned Manufacturing	639750180
Botha Engineering	645241665
Hashtag Engineering	646975048
Electricians Plumbers Handyman 24/7 Vryheid	647063735
ADR Automotive Engineering	648512370
Steelmac Engineering Projects	652930878
Bay Lifting Specialist Engineering  maintenance	656056442
Justady Engineering	658240432
SinwabileThandi Pty Ltd	658583623
MHOLDINGS (PTY) LTD	659107781
RMK Auto Repairs, Panel and Paint	664603019
TAKKLLOYD ENGINEERING (Pty)Ltd	670091800
Magebhezi Projects Pty Ltd	670709740
NQ Engineering PTY LTD	671037668
Afford Electrical Engineering Contractor	671461156
NDTT AUTOWORX	672048723
Van Eeden Electrical	673941160
TORCH ENGINEERING	677851123
Ditholo engineers	678108371
LA Automotive Engineering	678965207
sas engineering	679598280
SAS Structural Engineers	679598280
Marine  Hydraulic	681423629
Smallboy Auto Services  Projects (PTY) LTD	684939336
Ebel Engineering	685400300
Roadlogic Civils	686916745
Electrical KZN South	692965954
Khuluza electrical and Solar system	710173028
LGE Engineering (Pty) Ltd	711602573
"3XIsaK2-Eozg2roPmN3XWA""-,null,null,1,null,""https://www.google.com/maps/preview/place/MANDELA+ENGINEERING/@-28.9448254,30.8822356,3491a,13.1y/datau003d!4m2!3m1!1s0x462bf1928bc1f3:0xf11556363664819c"	711741750
"5HQsaKixG7Te2roP69Se4QQ""-,null,null,1,null,""https://www.google.com/maps/preview/place/MANDELA+ENGINEERING/@-28.9448254,30.8822356,3491a,13.1y/datau003d!4m2!3m1!1s0x462bf1928bc1f3:0xf11556363664819c"	711741750
"L3EsaJFa9-Xaug_A8KfRCw""-,null,null,1,null,""https://www.google.com/maps/preview/place/MANDELA+ENGINEERING/@-28.9448254,30.8822356,3491a,13.1y/datau003d!4m2!3m1!1s0x462bf1928bc1f3:0xf11556363664819c"	711741750
"qHEsaMCiNNve2roPzK6F-A8""-,null,null,1,null,""https://www.google.com/maps/preview/place/MANDELA+ENGINEERING/@-28.9448254,30.8822356,3491a,13.1y/datau003d!4m2!3m1!1s0x462bf1928bc1f3:0xf11556363664819c"	711741750
"r3QsaLayPOni2roP9KiUgQE""-,null,null,1,null,""https://www.google.com/maps/preview/place/MANDELA+ENGINEERING/@-28.9448254,30.8822356,3491a,13.1y/datau003d!4m2!3m1!1s0x462bf1928bc1f3:0xf11556363664819c"	711741750
JNT Trading	711890718
Avanti Coastal Projects	712265960
