Name;Phone
Hlophe's Place;781207169
Yebo Electronics  Cellular;781234555
LamaNgcobo General Dealers;781262876
MSHAZI ENGINEERING SERVICES;781263055
Lamontville HIV/AIDS Support Centre;781263779
MJCDevelopment;781325143
The Shack Accommodation and Boat Rides;781389949
V Dot Designs;781541229
Zinathiisamkelo;781720065
Ndwedwe Laundry;781727803
Indlovukazi Trading Company(pty)LTD;781782230
mhlanga strategies(pty)ltd;781820974
Web Design Vryheid;781982832
Khondlo Insurance Brokers  Financial Services cc;782118963
World Impact Suppliers;782127491
TSEKISA PHARMACY JOZINI;782429751
NZC Business Consulting (PTY)LTD;782523659
ALSAS GROUP;782610242
House Of Elegance;782736159
THE Mbosdev Investments (PTY) Ltd;782912856
Dumisto Group;783020538
Webdo Digital;783047273
Ghost Musiq Records;783146900
Emabheleni Business Solutions;783440522
Oyster Plastics;783484228
SWN Attorneys;783538253
zikode's poultry farm;783549205
MnM Ladysmith;783554949
Boer and Brit Self Catering Guest House.;783765179
MumsNest;783838583
Miapma (PTY) LTD;784169183
ThamiJames Constructors (Pty)Ltd;784628247
Uhlaba Usamila BB Accommodation;784658347
Muji Technical Services;784745613
IMVUKUZANE CIVIL (Pty)Ltd;784846455
Nhle and Hlalo Trading Project (Pty) Ltd;784884965
Business Centre 4 Africa;784929414
Steelgymsa;785061529
Shayamoya Secondary School;785063760
The Hub - Shelly beach;785096653
SMB Business Solutions Certified Financial Accountant ,Business Accountant(SA)  Tax Practioner(SA);785255196
Engen Go Go Convenience Centre;785326819
Shayamanzi Houseboats;785420344
Lusizo It Solutions;785634342
Work 4 A Living Port Shepstone;785772155
Bright Future Creative Designs;785831538
PC Construction Company;785844742
Hill on Empire;785875999
Damak Fresh Foods;786018282
SignUp Media;786076806
Appileh Nandie;786118043
Umzinto Gas Centre;786172786
AMAT ENTERPRISES (PTY) LTD;786172786
ifsa agencies Pty Ltd;786177043
Ikamva Business Solutions;786275325
decent cleaning services;786478717
Subz engineering;786513777
Hesto Harnesses - Stanger;786618969
Witkloof Nursery;786631377
Loafers Cafe;786689101
Bal Innovative Technical Solutions (Pty) Ltd;786780458
1st Class Internet CafÃ©;786971759
Ultra Liquors;787085686
BPV Trading;787286070
Quebase Media;787321731
Ekhayalami online;787336005
BONGANI IMPUMELELO MADUMAKUDE;787717319
Jozini Brake  Clutch (Pty) Ltd;787821319
KF1956 Trading and Projects Pty Ltd;787873023
Shan Cade;788010896
Buyskop Lodge;788171624
Delangokubona SA Business Forum;788190070
The Nut House;788221754
iNhlosane Mountain;788332251
Nongoma Lodge;788401792
Yintwenhle Consulting Engineers;788486879
Apex consulting;788576384
Phoswa Delivery bakkies;788821259
EASY WAY GO HOLDINGS(Pty)Ltd;788852675
ONSITE PRINTERS AND TONER;789000002
ZBN Tax and Accounting Services;789082669
Kolombela Tombstone;789204078
Sfyso Welding and aluminium works T/A Swalu Aluminium Works;789222480
Phoenix Business Enterprise;789235524
Lindela House;789438054
Mbhelembhe(pty)ltd;789656611
BH Gevers Farming;789778314
The Wood Panel Shop;790272104
Mbonis$ business;790410911
27-73-745-1830;790496604
Accounting  Tax Consulting;790930993
Encogenix;790938888
Mbele and Ngcobo Attorneys Inc.;791015936
Shisalanga Asphalt Plant Shakaskraal;791205925
Mshebe industrial printers;791225739
ZONKE ASHHI BUSINESS CONSULTANT;791304211
IZULU ECO LODGE;791331971
Nthwantso Trading Farm CC;791359884
MACC HOLDINGS SA;791395163
IKHEDAMA ENTERPRISE (PTY) LTD;791467322
Bonke Commercial Services;791579573
The Global Enterprise Academy South Africa;791806630
Mbeleni Primary Full Service School;792084662
Multi Corp Industries (Pty) Ltd.;792294316
Lungisa Steelworks;792387009
SKOOMBER PRODUCTION (PTY) LTD.;792511749
Jordans Supply Chain;792530294
ps30.space;792791987
DISPUTE CREDIT REHABILITATION (PTY) LTD;792885870
Gwalason Holdings;793004108
Onam C Holdings (Pty) Ltd;793046322
MNR PIERRE D B DU PLESSIS;793116494
Vryheid Salvage;793153137
Umzimkulu Marina;793269671
Ndwandwe Steel work place;793376570
Fuzer Projects;793388655
Greenlight Solutions;793474457
Vryheid Dot Net;793547770
Ndukude Security  Training (Pty) Ltd;793570043
Pongola Community Centre;793627649
Ren Engineering;793674530
Hardcore Construction Services;793729421
Vilandra Corporate Housing;794402634
Grow My Business;794442223
Azande Holdings Group;794525505
Gadla Consolidated (Pty) Ltd;794581511
Lejweleputswa Young Professionals Club;794725218
Msinga Home Affairs;794774079
Nkabantle designer;794792994
AM analytics;794905728
Wild Hare Cottages;794913823
Cijimpi Consulting (Pty) Ltd;794943328
Logbro by the sea, 26 William Brown road, Illovo Beach;795076986
iThekweni Technologies;795299643
BELA BELA TOURISM;795371555
Summerset Place Country House;795445192
nsizwenye production;795771883
Leafy Lane Howick;795918748
KaSompisi Holdings Enterprise;795926157
Environment of Business;795938322
Kwa Nkosi;796011689
Makawusi Civils and Transport (Pty) Ltd;796143682
CHIBI MANYELA HOLDINGS;796195312
Kloof Accounting Solutions;796198912
Thabecool's clothing designs;796226987
JONAS MELUSI TRADING ENTERPRISE cc;796242600
Lindokuhle Ndlovu Attorneys;796576010
Xanadu Guest House;796891803
Moetsiwa Technology Solutions;796969270
Sqweh Arrow (Pty) Ltd;797014591
Tanx Business Enterprise;797092911
Kings NNM Consulting;797159024
Uvongo Vakansie Pty Ltd;797705146
Kwa Mofokeng;797788105
UYABONWA SECURITY SERVICES;797842345
ROSSBURGH CAR AUDIO;797865516
Margate Business  Accommodation Directory;798096241
Cardozo Trading Enterprise (Pty) Ltd;798672791
Umbumbulu hardware;798826500
Kranskop Lodge;798885442
The Lavender Co;798911716
East Coast Classics;798936571
DEMPIRE;799172461
N. A. Mavimbela Attorneys;799213095
Critodeal Trading  Project (Pty) Ltd;799214113
Stars Of Success Production;799235132
Kim Knight Coaching;799366459
Ts Manzini  Associates;799402140
Thee-Arc Virtual Business Services;799614749
In Line Blocks;799804263
Pty Company Registration;800007269
South African Revenue Service;800007277
South African Revenue Service;800007277
South African Revenue Service Welkom;800007277
Hilti Store Durban;800023331
Hilti Store Silverton;800023331
The Block Company;810111775
nana electrical maintenance and supply;810272987
K'Ram  Company (Pty) Ltd;810294939
Fidelity ADT LadySmith;810356970
Eliquor Vryheid;810482651
Chas Everitt Shelly Beach  Surrounds I DNaidoo;810502701
eBook Internet Cafe;810519832
Central Business Designers;810578671
View Afrika (Pty) Ltd;810765735
Nthongwa Artz;810859315
THE STORAGE PARK LADYSMITH;810977176
J REDDY ATTORNEYS;810990398
Security Services Companies;812056544
Nzalaqua Purified Water and Ice;812086894
Mageba Fistoz Enterprise;812328880
dehydrators;812410650
Magaba Business Solutions;812480880
Vukuzenzele Stevedoring Services;812500679
BC CORPORATE OFFICE;812547132
sineso creations;812581026
GlassTec;812600020
SMJ Trucking;812699106
Mtunzini BB;812703064
Amantungwa IMS;812706591
TOP DEGREE BUSINESS;812757394
Zime Holding Accontants;812872071
Splendid Shisanyama;813100188
Dolphin Coast Maintenance;813145779
IFA;813146846
Sizabonke Projects;813303484
Reginald Business Property Specialist Durban KwaZulu Natal;813322129
Famous;813416836
Letsepeâ€™s Business Management Consulting;813436483
Safricq Group;813469932
Furnco Furniture and Appliances Kranskop;813628408
A2J HOLDINGS;813657046
ALLY'S PANELBEATERS  24/7 TOWLINES;813740284
Alta Qualita Industrial Services Pty Ltd;813819544
Vryheid Local Transport;813868521
BackYard Experience;813911577
inanda newtown A;813918278
Commercial;814058068
Business Printing Solutions;814075747
RadioNPP;814133432
Kwa-Ntulindawo Guesthouse;814422887
Isimangaliso Group Pty Ltd.;814536698
Lords Legal Solutions;814768044
Multi-Tech Electronics (Pty) Ltd;814862161
Hebron Haven Hotel;814963434
MNDesigns;815107888
Healthmakers;815124074
Vitamix;815124074
DBCG | Accounting, Auditing  Consulting;815207419
Peter and Associates Tax and Legal Advisory;815213082
Thami Mshengu Services;815340948
Sunele EnergÃ­a Grupo Proprietary Limited;815351889
AfriShopSA;815472674
A1 Electrical And Lighting;815484991
VERULAM NUMBER PLATES;815541018
Owen x;815620071
Roses Garden Enterprises;815913552
Stanger Car Plates and Signs (Since 1978);817087688
Vinodhs Recyclers;817118330
REGISTER A COMPANY 24/7 in South Africa;817334258
Sothole Group;817342124
Nkazimulo Paperworks;817348081
Ubuntu Engineering Solutions (UES);817397016
HSD Telecommunications  Business Solutions (Pty) Ltd;817485327
Meloding Guest House;817535729
Allied Inventories International (PTY) LTD;817559168
RR HOLDING  GENERAL SUPPLIES(PTY)LTD;817559415
Umthunzi Development Agency;817648981
TEE ZETT EVENT MANAGEMENT Pty Ltd.;817733486
South Coast Business Directory;817825477
TanFox (Pty) Ltd;817932040
Comfi plastics;817952120
Nongoma TV;818032986
THE ACROPOLIS MALL;818083387
eMuziwezinto Licensing Department;818150757
BAHF HOLDINGS;818386107
emangunini business enterprise;818555342
Augrafi Designs;818700468
Umdoni;818723632
Zulu Attorneys  Associates;818754207
MNYAMANDE FUNERAL PARLOUR;818853270
SBAHLENGOLWAZI (PTY) LTD;818919464
Cafe Kwajobe Internet;818920232
Techbringer (Pty)Ltd;818990964
Larnaco Estate;820516452
kwamashu c section;820570877
Waterloo Company Registrations Pty Ltd;820608157
At The Business Clinic;820611600
Nkandla Tyre Services;820709307
Maningining Trading Enteprizes;820773236
Business Express Phoenix;820809807
EBONY SUPERMARKET;820830447
Jamwukz Enterprise (Pty) Ltd;820843123
Icebolethu Funerals Group;822083435
Appletree Group - Business Culture Catalysts;822118785
amangwane Management and Business Consulting;822183777
Kwa Sihlobo Rooms;822232167
Lower Illovo Business Park;822308437
Pongola Palm Kwekery;822573040
Harcourts Coastal Design;822649094
Umsebewelanga Business Network;822698262
M  M satellite  cctv;822911786
Extension 7 kokstad;822976108
Marietjies Guest House;823008637
Izwe Brands;823011542
3@1 Mtunzini;823013646
Glink I.T Company, Server solutions, Computer repairs and Solar instations;823014618
Bluebird Coffee Roastery;823061935
National Auto Glass;823175728
29 South Sand Scottburg;823202698
Pongola Self Catering Units;823225595
Riverbend Towlines ... Safety * Service * Satisfaction;823282337
Coopen Consulting;823305719
KWAMBO SIGN  PRINT â€“ Evolving great ideas into brilliant prints;823314409
Mkuze Ranch;823320625
THE TECH GURU;823325480
The Zulu Brothers;823335608
Sealpro Waterproofing  Construction Newcastle;823377450
AS Estates;823386861
Island Building Construction;823394140
Reefteach Lodge Sodwana Bay;823396920
Ellary Solutions;823419541
Lavender Lane Bed  Breakfast;823455104
Gwahumbe Game  Spa;823476536
Midlands Trucking;823509792
