NaME	Phone
Jbay Mechanical Repair  Service Centre (Pty) Ltd	825175993
Hannom	825181610
Electricians Cape Town	825268793
Unreal Engineering Works	825382298
RM Afro Engineering	825516958
Rock Chucker Blasting Services (RCBS)	825517465
Howard Civil Engineering SA	825520902
DesignTek Engineering	825545164
Southern Engineering Works. Pty Ltd	825556899
Lesego’Le	825565503
CAMBEV	825622798
MTEENGINEERING	825625514
Centre Engineering	825640097
Bendet Engineering Services	825646501
LSB Land Surveyors	825654202
IM Geomatics Inc.	825654205
CONTRACTING-CIVIL ENGINEERING DESIGN  CONSTRUCTION	825660029
Riverside Construction  Maintenance	825660199
H.B.M. ENGINEERING(PTY) LTD	825694251
Emenem Industrial	825708093
De Kock  Associates Wellington	825742097
Richter Engineering	825748876
RWNThermoMech	825750045
JA.CO Engineering	825750080
MVD Consulting Engineers	825778878
MTD	825778922
Lande Lonke	825784968
Pieter Swanepoel Consulting Structural Engineer	825786877
CE Contractors	825790348
Hanswill Engineering (Pty) Ltd	825794102
Obesa Lodge	825885900
Trafficon	826007428
Free State Bearing  Engineering Supplies Pty. Ltd.	826021788
CAMSPEC ENGINEERING (PTY) LTD (South Africa)	826236163
Rand Water Zuikerbosch	826311473
Magesh Towing	826357942
Old School Engineering	826421280
Built Environment Partnership	826549620
Sebego Maloka  Viljoen Civil Engineers (Pty) Ltd	826572886
Amley Computer  Electrical Services CC	826598591
LB Consulting Engineering - Gauteng	826611428
BO LENG ENGINEERING  MANUFACTURING (PTY) LTD	826688168
DEM Engineering	826699737
Simrens Engineering	826826547
Schauenburg Northen Cape	826831372
H Square Engineers	826928285
Masiphile Construction Projects	826941157
STSS INDUSTRIAL ENGINEERING  DESIGN	827064530
Helicoil Pro	827109951
Repetition and General Engineering	827178474
Overberg Pumps  Seals(Pty)Ltd	827182301
WIETS ELECTRICAL AND CIVIL	827187827
Excess Power Africa Consulting (PTY) Ltd.	827266025
Jacos Engineering Vryheid	827337738
Tricom Africa	827393596
Bonyikho Auto Parts and Engineering	827400555
Mr Cupboard	827408139
Hydrocyl Engineering	827437554
Fila Projects	827445410
MVD Kalahari Consulting Civil and Structural Engineers	827488009
Flash Electric	827550359
Geospatial Scope	827554674
Redford Engineering	827614679
Sir Roys Guest House and Conference Centre	827702207
AXIS DEVELOPMENTS	827728007
U-Tech Engineering	827752667
Ult Struct Structural and Civil Consulting Engineers	827761388
Free State Installations Group	827772017
FTC Consulting Engineers (Pty) Ltd	827799274
Ponderosa Pine Trading	827804051
Hyco Enterprises	827817259
Accommodation @ Seven Gables	827833774
Stanwill Precision Engineering	827856645
Engineering	827875052
Boschkop Engineering	827879447
Storms River Guest Lodge	827965119
ViKO Consulting Engineers	827969357
R. E. Supervision	828001983
Hydro Rubber Welkom	828012253
J R Kopano Engineering	828065801
DML Precision Engineering	828071349
MTNS Electronics	828090488
Kinsey Engineering	828097921
Errowa (Pty) Ltd	828139895
Tsela Tsweu Consulting Engineers (Pty) Ltd	828149896
NTANJANA SOIL DESIGN LABORATORY	828163350
Q  A CONSULTING	828198298
Aerodesigns Africa	828215390
Shim Engineering	828240182
WNA Civil Engineering  Consulting	828243821
Down Touch Investments (Pty) Ltd	828282083
Subco Pty (Ltd) Civil Building  General Services	828308880
B Z M Construction	828500163
Sanmar Engineering	828536669
PBOER Engineering (Pty) Ltd.	828541780
A1 Bolts  Nuts Supplies	828554623
hendrik engineering pretoria	828667198
GT Consulting Engineers (Pty) Ltd	828678774
JMB Engineering (Pty) Ltd	828812694
Drylobag International | Complete Grain Drying, Storage and Preservation System	828867404
BSM (Pty) Ltd	828869984
ivic Services	828880961
SLAMTECH	828892095
Etienne du Randt Property Consultancy CC	828933938
Audio Engineering	828956033
Zwide Legacy Engineering	829022456
Art Engineering	829029533
DAK DESIGNS	829031751
Mountain Charcoal Guest House	829035176
RADIANGROUP (Pty) Ltd.	829064888
Secure It Security Solutions	829076773
Provo Precision Engineering	829211366
Rotary Power (Pty) Ltd	829225377
Grahamstown Automotive Engineering	829227896
MSB ENGINEERING	829238380
